Name,Status,YearClosed,Names_Prior_Manual,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
SPI Anderson Pole Plant,Operational,,Sierra Pacific Industries,Pole Peeler,Logs,Post/Pole,"Douglas-fir, Ponderosa Pine",Anderson,CA,96007,9009,40.471835,-122.32435
SPI Anderson Sawmill,Operational,,Sierra Pacific Industries,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, Hemlock-fir, Sugar Pine",Anderson,CA,96007 ?,9008,40.471498,-122.320991
Humboldt Flakeboard Particle Bd.,Closed,,Humboldt Flakeboard Panels,Composite Panel,Chips,Particleboard,,Arcata,CA,95521,9015,40.899619,-124.075427
Almquist Lumber Co,Operational,,,Small Production Mill,Logs,Lumber,Hardwood,Arcata,CA,95521,9010,40.911424,-124.067932
Arcata Forest Products Sawmill,Operational,,,Sawmill,Logs,Lumber,"RW, DF",Arcata,CA,95518,9012,40.901169,-124.071143
Mad River Lbr. Sawmill,Operational,,Mad River Lumber,Sawmill,Logs,Fence Boards,redwood,Arcata,CA,95521,9016,40.885948,-124.081698
Priority Pallets Sawmill,Operational,,Priority Pallets Sawmill,Sawmill,Logs,Lumber,"PP, SP, WF",Beaumont,CA,92223,9020,33.925539,-116.968097
South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimension & Stud Sawmills,Operational,,,Sawmill,Logs,Lumber,,Brookings,OR,97415,9024,42.052701,-124.290912
Shasta Green Sawmill,Operational,,Burney Forest Products (owned by Big Valley Lumber Company),Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, True Fir",Burney,CA,96013,9026,40.8782226,-121.7266623
SPI Burney Sawmill,Operational,,"Scott Lumber, Publishers",Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, Hemlock, Sugar Pine",Burney,CA,96013,9027,40.876365,-121.701786
Berry's Sawmill,Operational,,Berry Sawmill & Lumber Yard,Sawmill,Logs,Lumber,"RW, DF",Cazadero,CA,95421,9034,38.46454832,-123.0410353
Collins Chester Sawmill,Operational,,Collins Pine Co,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, true fir, Hemlock, Sugar Pine",Chester,CA,96020,9036,40.30330794,-121.2413703
SPI Chinese Camp Sawmill,Operational,,Sierra Pacific Industries,Sawmill,Logs,Fence Boards,"IC, WF",Chinese Camp,CA,95309,9037,37.88282739,-120.4536966
Redwood Empire (Cloverdale),Operational,,"Preston Lumber Corporation (Cloverdale Plant), Richardson Lumber",Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",Cloverdale,CA,95425,9039,38.820891,-123.018623
Big Creek Lbr. Co. Sawmill,Operational,,Big Creek Lumber Co,Sawmill,Logs,Lumber,"DF, Redwood",Davenport,CA,95017,9044,37.090154,-122.273326
El Dorado Northern Corp,Closed,,,Small Production Mill,Logs,Lumber,,El Dorado,CA,95623,9046,38.680212,-120.844795
Commander Lumber Co.,ND,,,Sawmill,Logs,Lumber,,Elk Creek,CA,95939 ?,9047,39.587495,-122.540479
Trinity River Schmidbauer Lumber Company Sawmill,Operational,,Schmidbauer Lumber Company,Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",Eureka,CA,95501,9001,40.79719014,-124.1815646
Kubich Lumber Co,Operational,,,Small Production Mill,Logs,Lumber,"Incense Cedar, Sugar Pine",Grass Valley,CA,95945,9058,39.238323,-121.089604
California Wood Shavings,Operational,,California Wood Shavings,Whole Log Shaver,Logs,Shavings,pine,Jamestown,CA,95327,9062,37.83896858,-120.5037001
SPI Keystone Bark Plant,Operational,,"Sierra Pacific Industries, Keystone, Louisiana pacific (Jamestown)",Bark Processor,Bark,Bark Products,,Jamestown,CA,96019,9063,37.83790896,-120.5063675
Southern Oregon Post & Pole,Closed,,,Pole Peeler,Logs,,,Klamath Falls,OR,97603,9067,42.04369796,-121.8719792
Columbia Forest Products Plywood,Operational,,,Veneer and Hardwood Plywood,Logs,Veneer and Hardwood Plywood,"WF, Hybrid Poplar, Hardwood Face Veneers",Klamath Falls,OR,97603 ?,9064,42.1796987,-121.8005483
Jeld-Wen MDF,Operational,,,Sawmill,Logs,Lumber,"PP, SP",Klamath Falls,OR,97601,9065,42.25325412,-121.8060077
Jeld-Wen Thomas Lbr. Sawmill,Operational,,,Sawmill,Logs,Lumber,,Klamath Falls,OR,97601,9066,42.25647449,-121.8046141
SPI Lincoln Sawmill,Operational,,Bohemia,Sawmill,Logs,Lumber,,Lincoln,CA,95648,9002,38.90448023,-121.3070281
SierraPine Martell Particleboard,Operational,,Sierra Pine Ltd,Composite Panel,Sawdust / Shavings / Chipa,Particleboard,,Martell,CA,95642,9112,38.379883,-120.798731
Roseburg Medford MDF,Operational,,,Composite Panel,Sawdust/ Shavings/ Chips,MDF,,Medford,OR,?,9297,42.34711,-122.889474
Cedar Creek Horse Logging & Milling Inc.,Operational,,,Small Production Mill,Logs,Lumber,,Nevada City,CA,95959,9078,39.267159,-121.014941
United Bark Products,Operational,,,Bark Processor,Bark,Bark Products,,Orland,CA,95987,9082,39.687296,-122.197715
